run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,vectime,vecvalue
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[9],userThroughputStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[9],userThroughputStat:stats,source,userThroughput,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[9],userThroughputStat:stats,title,"User throughput, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[9],packetBytesStat:stats,,,,1938,,38.917956656347,21.435065466379,1,75,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[9],packetBytesStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[9],packetBytesStat:stats,source,packetBytes,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[9],packetBytesStat:stats,title,"Packet bytes, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[9],packetDelayStat:stats,,,,1938,,53.609092472926,36.594048776226,0.050494405574,139.1300459826,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[9],packetDelayStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[9],packetDelayStat:stats,source,packetDelay,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[9],packetDelayStat:stats,title,"Packet delay, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[10],userThroughputStat:stats,,,,1111,,37.224722472248,168.36045643974,0,1172.2222222222,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[10],userThroughputStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[10],userThroughputStat:stats,source,userThroughput,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[10],userThroughputStat:stats,title,"User throughput, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[10],packetBytesStat:stats,,,,1937,,38.431595250387,21.586568778705,1,75,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[10],packetBytesStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[10],packetBytesStat:stats,source,packetBytes,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[10],packetBytesStat:stats,title,"Packet bytes, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[10],packetDelayStat:stats,,,,1937,,96.264652019427,35.323974472334,0.087293215456,161.67172366348,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[10],packetDelayStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[10],packetDelayStat:stats,source,packetDelay,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[10],packetDelayStat:stats,title,"Packet delay, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[11],userThroughputStat:stats,,,,1111,,37.671767176717,124.60672819193,0,963.88888888889,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[11],userThroughputStat:stats,,,,,,,,,,,
